pos,Magnetic_Field,Electric_Field
0,-0.00001,-0.00528
1,-0.00005,-0.02029
2,-0.00007,-0.02587
3,-0.00005,-0.01997
4,-0.00001,-0.00563
5,0.00003,0.01059
6,0.00006,0.02156
7,0.00006,0.02273
8,0.00004,0.01396
9,-0.00000,-0.00056
10,-0.00004,-0.01429
11,-0.00006,-0.02129
12,-0.00005,-0.01876
13,-0.00002,-0.00814
14,0.00001,0.00565
15,0.00004,0.01649
16,0.00005,0.01977
17,0.00004,0.01430
18,0.00001,0.00278
19,-0.00003,-0.00956
20,-0.00005,-0.01733
21,-0.00005,-0.01727
22,-0.00003,-0.00967
23,0.00001,0.00191
24,0.00003,0.01229
25,0.00005,0.01697
26,0.00004,0.01409
27,0.00001,0.00514
28,-0.00002,-0.00579
29,-0.00004,-0.01385
30,-0.00004,-0.01562
31,-0.00003,-0.01049
32,-0.00000,-0.00093
33,0.00002,0.00876
34,0.00004,0.01434
35,0.00004,0.01348
36,0.00002,0.00675
37,-0.00001,-0.00276
38,-0.00003,-0.01079
39,-0.00004,-0.01388
40,-0.00003,-0.01080
41,-0.00001,-0.00308
42,0.00002,0.00579
43,0.00003,0.01189
44,0.00003,0.01261
45,0.00002,0.00779
46,-0.00000,-0.00032
47,-0.00002,-0.00809
48,-0.00003,-0.01211
49,-0.00003,-0.01072
50,-0.00001,-0.00466
51,0.00001,0.00329
52,0.00003,0.00960
53,0.00003,0.01155
54,0.00002,0.00838
55,0.00000,0.00161
56,-0.00002,-0.00571
57,-0.00003,-0.01035
58,-0.00003,-0.01033
59,-0.00002,-0.00578
60,0.00000,0.00120
61,0.00002,0.00750
62,0.00003,0.01036
63,0.00002,0.00861
64,0.00001,0.00311
65,-0.00001,-0.00363
66,-0.00002,-0.00863
67,-0.00003,-0.00973
68,-0.00002,-0.00653
69,-0.00000,-0.00053
70,0.00001,0.00558
71,0.00002,0.00910
72,0.00002,0.00855
73,0.00001,0.00425
74,-0.00000,-0.00183
75,-0.00002,-0.00697
76,-0.00002,-0.00895
77,-0.00002,-0.00695
78,-0.00001,-0.00193
79,0.00001,0.00383
80,0.00002,0.00780
81,0.00002,0.00826
82,0.00001,0.00507
83,-0.00000,-0.00028
84,-0.00001,-0.00540
85,-0.00002,-0.00805
86,-0.00002,-0.00711
87,-0.00001,-0.00305
88,0.00001,0.00227
89,0.00002,0.00649
90,0.00002,0.00778
91,0.00001,0.00562
92,0.00000,0.00102
93,-0.00001,-0.00394
94,-0.00002,-0.00707
95,-0.00002,-0.00704
96,-0.00001,-0.00390
97,0.00000,0.00089
98,0.00001,0.00521
99,0.00002,0.00716
100,-0.00001,0.00592
101,0.00001,-0.01859
102,-0.00004,0.03039
103,0.00009,-0.04058
104,-0.00018,0.04795
105,0.00032,-0.05079
106,-0.00049,0.04692
107,0.00069,-0.03405
108,-0.00088,0.01041
109,0.00101,0.02426
110,-0.00102,-0.06739
111,0.00085,0.11252
112,-0.00047,-0.14882
113,-0.00011,0.16240
114,0.00078,-0.13999
115,-0.00136,0.07513
116,0.00160,0.02463
117,-0.00131,-0.13307
118,0.00045,0.20833
119,0.00073,-0.20733
120,-0.00171,0.11043
121,0.00189,0.05461
122,-0.00098,-0.20845
123,-0.00064,0.25253
124,0.00197,-0.13469
125,-0.00195,-0.09014
126,0.00036,0.26463
127,0.00166,-0.23300
128,-0.00228,-0.00886
129,0.00067,0.25814
130,0.00175,-0.25819
131,-0.00230,-0.02358
132,0.00011,0.29131
133,0.00231,-0.21045
134,-0.00167,-0.14879
135,-0.00138,0.31230
136,0.00240,-0.02241
137,0.00038,-0.30670
138,-0.00254,0.14071
139,0.00023,0.26554
140,0.00248,-0.19452
141,-0.00037,-0.23913
142,-0.00241,0.19576
143,0.00007,0.24315
144,0.00229,-0.15020
145,0.00055,-0.26218
146,-0.00192,0.06258
147,-0.00115,0.26082
148,0.00158,0.02702
149,0.00201,-0.27279
150,-0.00163,-0.15005
151,-0.00721,0.43612
152,-0.01139,1.11896
153,-0.01245,1.52181
154,-0.01079,1.52392
155,-0.00785,1.23951
156,-0.00496,0.85813
157,-0.00277,0.51975
158,-0.00139,0.28043
159,-0.00064,0.13654
160,-0.00027,0.06057
161,-0.00010,0.02467
162,-0.00004,0.00928
163,-0.00001,0.00324
164,-0.00000,0.00105
165,-0.00000,0.00032
166,-0.00000,0.00009
167,-0.00000,0.00002
168,-0.00000,0.00001
169,-0.00000,0.00000
170,-0.00000,0.00000
171,-0.00000,0.00000
172,-0.00000,0.00000
173,-0.00000,0.00000
174,-0.00000,0.00000
175,-0.00000,0.00000
176,-0.00000,0.00000
177,-0.00000,0.00000
178,-0.00000,0.00000
179,-0.00000,0.00000
180,-0.00000,0.00000
181,-0.00000,0.00000
182,-0.00000,0.00000
183,-0.00000,0.00000
184,-0.00000,0.00000
185,-0.00000,0.00000
186,-0.00000,0.00000
187,-0.00000,0.00000
188,-0.00000,0.00000
189,-0.00000,0.00000
190,-0.00000,0.00000
191,-0.00000,0.00000
192,-0.00000,0.00000
193,-0.00000,0.00000
194,-0.00000,0.00000
195,-0.00000,0.00000
196,-0.00000,0.00000
197,-0.00000,0.00000
198,-0.00000,0.00000
199,0.00000,0.00000
