pos,Magnetic_Field,Electric_Field
0,0.00001,0.00437
1,0.00000,0.00150
2,-0.00001,-0.00199
3,-0.00001,-0.00455
4,-0.00001,-0.00507
5,-0.00001,-0.00334
6,-0.00000,-0.00017
7,0.00001,0.00304
8,0.00001,0.00486
9,0.00001,0.00451
10,0.00001,0.00218
11,-0.00000,-0.00109
12,-0.00001,-0.00382
13,-0.00001,-0.00484
14,-0.00001,-0.00370
15,-0.00000,-0.00095
16,0.00001,0.00219
17,0.00001,0.00432
18,0.00001,0.00451
19,0.00001,0.00271
20,-0.00000,-0.00026
21,-0.00001,-0.00308
22,-0.00001,-0.00450
23,-0.00001,-0.00392
24,-0.00000,-0.00161
25,0.00000,0.00138
26,0.00001,0.00372
27,0.00001,0.00439
28,0.00001,0.00311
29,0.00000,0.00048
30,-0.00001,-0.00233
31,-0.00001,-0.00408
32,-0.00001,-0.00400
33,-0.00001,-0.00216
34,0.00000,0.00062
35,0.00001,0.00308
36,0.00001,0.00416
37,0.00001,0.00338
38,0.00000,0.00112
39,-0.00000,-0.00160
40,-0.00001,-0.00359
41,-0.00001,-0.00397
42,-0.00001,-0.00259
43,-0.00000,-0.00008
44,0.00001,0.00243
45,0.00001,0.00384
46,0.00001,0.00354
47,0.00000,0.00167
48,-0.00000,-0.00091
49,-0.00001,-0.00306
50,-0.00001,-0.00383
51,-0.00001,-0.00290
52,-0.00000,-0.00070
53,0.00000,0.00178
54,0.00001,0.00345
55,0.00001,0.00358
56,0.00001,0.00212
57,-0.00000,-0.00026
58,-0.00001,-0.00249
59,-0.00001,-0.00360
60,-0.00001,-0.00311
61,-0.00000,-0.00125
62,0.00000,0.00115
63,0.00001,0.00301
64,0.00001,0.00352
65,0.00001,0.00247
66,0.00000,0.00034
67,-0.00001,-0.00192
68,-0.00001,-0.00330
69,-0.00001,-0.00321
70,-0.00000,-0.00170
71,0.00000,0.00054
72,0.00001,0.00252
73,0.00001,0.00336
74,0.00001,0.00271
75,0.00000,0.00087
76,-0.00000,-0.00134
77,-0.00001,-0.00293
78,-0.00001,-0.00321
79,-0.00001,-0.00207
80,-0.00000,-0.00002
81,0.00001,0.00201
82,0.00001,0.00314
83,0.00001,0.00286
84,0.00000,0.00133
85,-0.00000,-0.00078
86,-0.00001,-0.00252
87,-0.00001,-0.00313
88,-0.00001,-0.00235
89,-0.00000,-0.00053
90,0.00000,0.00150
91,0.00001,0.00284
92,0.00001,0.00292
93,0.00000,0.00171
94,-0.00000,-0.00025
95,-0.00001,-0.00208
96,-0.00001,-0.00297
97,-0.00001,-0.00254
98,-0.00000,-0.00099
99,0.00000,0.00098
100,0.00004,0.00250
101,-0.00008,-0.00607
102,0.00012,0.00994
103,-0.00015,-0.01431
104,0.00018,0.01932
105,-0.00020,-0.02501
106,0.00021,0.03134
107,-0.00020,-0.03807
108,0.00017,0.04480
109,-0.00012,-0.05092
110,0.00005,0.05554
111,0.00006,-0.05763
112,-0.00019,0.05599
113,0.00033,-0.04945
114,-0.00048,0.03711
115,0.00061,-0.01859
116,-0.00070,-0.00559
117,0.00073,0.03368
118,-0.00066,-0.06258
119,0.00050,0.08782
120,-0.00023,-0.10405
121,-0.00011,0.10597
122,0.00048,-0.08967
123,-0.00080,0.05427
124,0.00099,-0.00338
125,-0.00097,-0.05422
126,0.00071,0.10530
127,-0.00023,-0.13476
128,-0.00036,0.13007
129,0.00090,-0.08657
130,-0.00119,0.01175
131,0.00109,0.07365
132,-0.00058,-0.13995
133,-0.00020,0.15846
134,0.00096,-0.11452
135,-0.00135,0.01839
136,0.00114,0.09296
137,-0.00036,-0.16767
138,-0.00066,0.16303
139,0.00138,-0.07176
140,-0.00136,-0.06507
141,0.00051,0.17186
142,0.00070,-0.17914
143,-0.00152,0.07149
144,0.00132,0.08995
145,-0.00016,-0.19602
146,-0.00117,0.16269
147,0.00165,-0.00262
148,-0.00078,-0.16661
149,-0.00079,0.20342
150,0.00171,-0.06458
151,-0.00109,-0.13865
152,-0.00062,0.21737
153,0.00174,-0.08807
154,-0.00113,-0.14001
155,-0.00081,0.21783
156,0.00174,-0.07637
157,-0.00095,-0.18481
158,-0.00141,0.18944
159,0.00149,-0.03032
160,-0.00040,-0.25909
161,-0.00210,0.11165
162,0.00091,0.07890
163,0.00089,-0.25925
164,-0.00182,0.00606
165,-0.00006,0.23655
166,0.00203,-0.10822
167,-0.00055,-0.16342
168,-0.00174,0.19241
169,0.00104,0.09964
170,0.00137,-0.23461
171,-0.00136,-0.05422
172,-0.00111,0.24695
173,0.00153,0.03004
174,0.00103,-0.24523
175,-0.00155,-0.02827
176,-0.00113,0.23790
177,0.00143,0.04887
178,0.00137,-0.22488
179,-0.00111,-0.09068
180,-0.00145,0.19797
181,0.00038,0.11005
182,0.00119,-0.10986
183,0.00017,-0.11949
184,-0.00081,0.03365
185,-0.00051,0.10427
186,0.00036,0.02508
187,0.00061,-0.06799
188,0.00008,-0.06017
189,-0.00048,0.01804
190,-0.00046,0.06619
191,0.00004,0.03646
192,0.00050,-0.03492
193,0.00050,-0.08281
194,0.00001,-0.07418
195,-0.00071,-0.02374
196,-0.00137,0.02972
197,-0.00184,0.05399
198,-0.00206,0.03975
199,0.00000,0.00000
