pos,Magnetic_Field,Electric_Field
0,-0.00000,-0.00000
1,-0.00000,-0.00000
2,-0.00000,0.00000
3,-0.00000,-0.00000
4,-0.00000,-0.00000
5,-0.00000,0.00000
6,0.00000,-0.00000
7,-0.00000,-0.00000
8,-0.00000,0.00000
9,0.00000,-0.00000
10,-0.00000,-0.00000
11,0.00000,0.00000
12,-0.00000,-0.00000
13,-0.00000,-0.00000
14,-0.00000,0.00000
15,0.00000,-0.00000
16,-0.00000,-0.00000
17,0.00000,0.00000
18,-0.00000,-0.00000
19,-0.00000,0.00000
20,-0.00000,-0.00000
21,0.00000,0.00000
22,0.00000,-0.00000
23,-0.00000,-0.00000
24,0.00000,0.00000
25,-0.00000,-0.00000
26,0.00000,0.00000
27,-0.00000,-0.00000
28,0.00000,0.00000
29,-0.00000,-0.00000
30,0.00000,0.00000
31,-0.00000,-0.00000
32,0.00000,0.00000
33,-0.00000,-0.00000
34,0.00000,0.00000
35,-0.00000,-0.00000
36,0.00000,0.00000
37,-0.00000,-0.00000
38,0.00000,0.00000
39,-0.00000,-0.00000
40,0.00000,0.00000
41,-0.00000,-0.00000
42,0.00000,0.00000
43,-0.00000,-0.00000
44,0.00000,0.00000
45,-0.00000,-0.00000
46,0.00000,0.00000
47,-0.00000,-0.00000
48,0.00000,0.00000
49,-0.00000,-0.00000
50,0.00000,0.00000
51,-0.00000,0.15643
52,0.00041,-0.00000
53,0.00082,-0.15643
54,0.00120,-0.30902
55,0.00156,-0.45399
56,0.00188,-0.58779
57,0.00215,-0.70711
58,0.00236,-0.80902
59,0.00252,-0.89101
60,0.00262,-0.95106
61,0.00265,-0.98769
62,0.00262,-1.00000
63,0.00252,-0.98769
64,0.00236,-0.95106
65,0.00215,-0.89101
66,0.00188,-0.80902
67,0.00156,-0.70711
68,0.00120,-0.58779
69,0.00051,-0.57228
70,-0.00006,-0.48689
71,-0.00057,-0.37070
72,-0.00108,-0.25068
73,-0.00160,-0.13673
74,-0.00209,-0.02672
75,-0.00254,0.08409
76,-0.00291,0.19623
77,-0.00321,0.30503
78,-0.00344,0.40411
79,-0.00359,0.48923
80,-0.00366,0.55935
81,-0.00364,0.61505
82,-0.00353,0.65618
83,-0.00334,0.68111
84,-0.00306,0.68777
85,-0.00272,0.67519
86,-0.00231,0.64414
87,-0.00185,0.59647
88,-0.00135,0.53398
89,-0.00081,0.45794
90,-0.00025,0.36946
91,0.00030,0.27029
92,0.00085,0.16313
93,0.00137,0.05121
94,0.00186,-0.06231
95,0.00230,-0.17481
96,0.00268,-0.28395
97,0.00299,-0.38730
98,0.00323,-0.48216
99,0.00339,-0.56581
100,0.00332,-0.63595
101,0.00292,-0.63860
102,0.00227,-0.58348
103,0.00143,-0.47488
104,0.00055,-0.33638
105,-0.00036,-0.17874
106,-0.00110,-0.01753
107,-0.00172,0.11762
108,-0.00213,0.23983
109,-0.00223,0.31767
110,-0.00220,0.34513
111,-0.00201,0.35403
112,-0.00154,0.32491
113,-0.00092,0.23960
114,-0.00042,0.13611
115,-0.00015,0.05968
116,-0.00004,0.02049
117,-0.00001,0.00560
118,-0.00000,0.00123
119,-0.00000,0.00022
120,-0.00000,0.00003
121,-0.00000,0.00000
122,-0.00000,0.00000
123,-0.00000,0.00000
124,-0.00000,0.00000
125,-0.00000,0.00000
126,-0.00000,0.00000
127,-0.00000,0.00000
128,-0.00000,0.00000
129,-0.00000,0.00000
130,-0.00000,0.00000
131,0.00000,0.00000
132,0.00000,0.00000
133,0.00000,0.00000
134,0.00000,0.00000
135,0.00000,0.00000
136,0.00000,0.00000
137,0.00000,0.00000
138,0.00000,0.00000
139,0.00000,0.00000
140,0.00000,0.00000
141,0.00000,0.00000
142,0.00000,0.00000
143,0.00000,0.00000
144,0.00000,0.00000
145,0.00000,0.00000
146,0.00000,0.00000
147,0.00000,0.00000
148,0.00000,0.00000
149,0.00000,0.00000
150,0.00000,0.00000
151,0.00000,0.00000
152,0.00000,0.00000
153,0.00000,0.00000
154,0.00000,0.00000
155,0.00000,0.00000
156,0.00000,0.00000
157,0.00000,0.00000
158,0.00000,0.00000
159,0.00000,0.00000
160,0.00000,0.00000
161,0.00000,0.00000
162,0.00000,0.00000
163,0.00000,0.00000
164,0.00000,0.00000
165,0.00000,0.00000
166,0.00000,0.00000
167,0.00000,0.00000
168,0.00000,0.00000
169,0.00000,0.00000
170,0.00000,0.00000
171,0.00000,0.00000
172,0.00000,0.00000
173,0.00000,0.00000
174,0.00000,0.00000
175,0.00000,0.00000
176,0.00000,0.00000
177,0.00000,0.00000
178,0.00000,0.00000
179,0.00000,0.00000
180,0.00000,0.00000
181,0.00000,0.00000
182,0.00000,0.00000
183,0.00000,0.00000
184,0.00000,0.00000
185,0.00000,0.00000
186,0.00000,0.00000
187,0.00000,0.00000
188,0.00000,0.00000
189,0.00000,0.00000
190,0.00000,0.00000
191,0.00000,0.00000
192,0.00000,0.00000
193,0.00000,0.00000
194,0.00000,0.00000
195,0.00000,0.00000
196,0.00000,0.00000
197,0.00000,0.00000
198,0.00000,0.00000
199,0.00000,0.00000
