pos,Magnetic_Field,Electric_Field
0,-0.00143,-0.24777
1,-0.00116,-0.18842
2,-0.00122,-0.29430
3,-0.00135,-0.25623
4,-0.00099,-0.17909
5,-0.00097,-0.26742
6,-0.00101,-0.21248
7,-0.00058,-0.11957
8,-0.00050,-0.19355
9,-0.00050,-0.12603
10,-0.00003,-0.02264
11,0.00007,-0.08852
12,0.00008,-0.01552
13,0.00054,0.09062
14,0.00063,0.02474
15,0.00061,0.09500
16,0.00102,0.19573
17,0.00105,0.12182
18,0.00096,0.18164
19,0.00130,0.26978
20,0.00124,0.18150
21,0.00106,0.22555
22,0.00131,0.29686
23,0.00116,0.19108
24,0.00090,0.21734
25,0.00106,0.27107
26,0.00083,0.14838
27,0.00049,0.15886
28,0.00059,0.19828
29,0.00031,0.06305
30,-0.00006,0.06303
31,0.00002,0.09431
32,-0.00027,-0.04644
33,-0.00064,-0.04920
34,-0.00054,-0.01787
35,-0.00079,-0.15583
36,-0.00111,-0.15318
37,-0.00096,-0.11388
38,-0.00114,-0.24146
39,-0.00139,-0.22619
40,-0.00115,-0.17244
41,-0.00125,-0.28417
42,-0.00140,-0.25210
43,-0.00107,-0.18093
44,-0.00108,-0.27494
45,-0.00115,-0.22523
46,-0.00074,-0.13703
47,-0.00068,-0.21516
48,-0.00069,-0.15118
49,-0.00023,-0.05056
50,-0.00013,-0.11828
51,0.00109,-0.35510
52,0.00191,-0.39375
53,0.00232,-0.59239
54,0.00259,-0.63963
55,0.00324,-0.63818
56,0.00345,-0.79054
57,0.00348,-0.78635
58,0.00388,-0.72975
59,0.00382,-0.82487
60,0.00357,-0.76287
61,0.00369,-0.64912
62,0.00335,-0.68883
63,0.00285,-0.57438
64,0.00272,-0.41267
65,0.00216,-0.41050
66,0.00146,-0.26146
67,0.00117,-0.07301
68,0.00049,-0.05207
69,-0.00030,0.10751
70,-0.00062,0.29768
71,-0.00129,0.31077
72,-0.00202,0.45283
73,-0.00225,0.61669
74,-0.00280,0.59626
75,-0.00336,0.69885
76,-0.00339,0.81765
77,-0.00369,0.74641
78,-0.00400,0.79303
79,-0.00376,0.85293
80,-0.00379,0.72315
81,-0.00382,0.71410
82,-0.00331,0.72135
83,-0.00307,0.54034
84,-0.00284,0.48088
85,-0.00210,0.44156
86,-0.00168,0.22412
87,-0.00133,0.14347
88,-0.00047,0.09620
89,0.00008,-0.12762
90,0.00062,-0.23009
91,0.00116,-0.32698
92,0.00166,-0.41590
93,0.00212,-0.49467
94,0.00253,-0.56133
95,0.00288,-0.61426
96,0.00316,-0.65214
97,0.00335,-0.67405
98,0.00347,-0.67943
99,0.00350,-0.66817
100,0.00294,-0.64053
101,0.00214,-0.55284
102,0.00120,-0.41949
103,0.00024,-0.25798
104,-0.00066,-0.08690
105,-0.00141,0.07602
106,-0.00195,0.21552
107,-0.00224,0.32015
108,-0.00229,0.38297
109,-0.00212,0.40180
110,-0.00175,0.37905
111,-0.00125,0.32093
112,-0.00067,0.23659
113,-0.00009,0.13680
114,0.00044,0.03294
115,0.00088,-0.06445
116,0.00118,-0.14634
117,0.00134,-0.20621
118,0.00134,-0.24023
119,0.00121,-0.24756
120,0.00097,-0.23003
121,0.00066,-0.19171
122,0.00030,-0.13843
123,-0.00005,-0.07676
124,-0.00037,-0.01367
125,-0.00062,0.04461
126,-0.00080,0.09273
127,-0.00088,0.12699
128,-0.00087,0.14537
129,-0.00078,0.14753
130,-0.00063,0.13493
131,-0.00043,0.11012
132,-0.00022,0.07682
133,-0.00000,0.03909
134,0.00018,0.00102
135,0.00033,-0.03345
136,0.00043,-0.06145
137,0.00047,-0.08071
138,0.00046,-0.09018
139,0.00039,-0.08996
140,0.00030,-0.08083
141,0.00017,-0.06467
142,0.00004,-0.04371
143,-0.00009,-0.02036
144,-0.00020,0.00268
145,-0.00028,0.02334
146,-0.00034,0.03980
147,-0.00036,0.05071
148,-0.00034,0.05575
149,-0.00030,0.05489
150,-0.00024,0.04868
151,-0.00016,0.03849
152,-0.00008,0.02556
153,-0.00001,0.01136
154,0.00006,-0.00236
155,0.00011,-0.01444
156,0.00014,-0.02393
157,0.00015,-0.02991
158,0.00014,-0.03222
159,0.00011,-0.03115
160,0.00007,-0.02688
161,0.00003,-0.02015
162,-0.00002,-0.01209
163,-0.00007,-0.00344
164,-0.00010,0.00503
165,-0.00013,0.01226
166,-0.00015,0.01764
167,-0.00015,0.02107
168,-0.00014,0.02236
169,-0.00012,0.02134
170,-0.00010,0.01843
171,-0.00007,0.01436
172,-0.00004,0.00948
173,-0.00001,0.00414
174,0.00002,-0.00098
175,0.00003,-0.00513
176,0.00004,-0.00809
177,0.00004,-0.00997
178,0.00004,-0.01066
179,0.00003,-0.00993
180,0.00001,-0.00789
181,-0.00001,-0.00508
182,-0.00002,-0.00209
183,-0.00004,0.00083
184,-0.00005,0.00365
185,-0.00006,0.00629
186,-0.00006,0.00840
187,-0.00006,0.00956
188,-0.00005,0.00955
189,-0.00004,0.00850
190,-0.00003,0.00682
191,-0.00002,0.00497
192,-0.00001,0.00332
193,-0.00001,0.00204
194,-0.00000,0.00116
195,-0.00000,0.00062
196,-0.00000,0.00030
197,-0.00000,0.00014
198,-0.00000,0.00004
199,0.00000,-0.00002
