pos,Magnetic_Field,Electric_Field
0,-0.00036,-0.05694
1,-0.00041,-0.09832
2,-0.00020,-0.09085
3,-0.00066,-0.37032
4,-0.00072,-0.32559
5,-0.00048,-0.29994
6,-0.00087,-0.54682
7,-0.00087,-0.46740
8,-0.00057,-0.41118
9,-0.00093,-0.62942
10,-0.00088,-0.51796
11,-0.00052,-0.42388
12,-0.00082,-0.60109
13,-0.00071,-0.45019
14,-0.00031,-0.32133
15,-0.00057,-0.46818
16,-0.00043,-0.28952
17,-0.00000,-0.13474
18,-0.00023,-0.25888
19,-0.00008,-0.06314
20,0.00036,0.10162
21,0.00012,-0.01937
22,0.00026,0.17401
23,0.00067,0.33176
24,0.00041,0.19889
25,0.00051,0.37474
26,0.00088,0.50910
27,0.00057,0.34789
28,0.00062,0.49197
29,0.00094,0.59243
30,0.00057,0.39574
31,0.00057,0.50300
32,0.00083,0.56579
33,0.00041,0.33172
34,0.00036,0.40333
35,0.00059,0.43342
36,0.00013,0.17023
37,0.00005,0.21659
38,0.00025,0.22564
39,-0.00022,-0.05372
40,-0.00030,-0.01790
41,-0.00010,-0.01328
42,-0.00055,-0.29096
43,-0.00061,-0.24769
44,-0.00038,-0.23023
45,-0.00080,-0.48988
46,-0.00082,-0.42362
47,-0.00054,-0.37859
48,-0.00091,-0.60687
49,-0.00088,-0.50640
50,-0.00054,-0.42530
51,0.00176,-1.61648
52,0.00175,-1.46630
53,0.00198,-1.31168
54,0.00150,-1.40740
55,0.00136,-1.15463
56,0.00146,-0.90523
57,0.00087,-0.91625
58,0.00064,-0.59084
59,0.00067,-0.28255
60,0.00002,-0.24993
61,-0.00025,0.10271
62,-0.00023,0.42105
63,-0.00087,0.44633
64,-0.00111,0.77451
65,-0.00104,1.05195
66,-0.00160,1.02088
67,-0.00175,1.27854
68,-0.00157,1.47298
69,-0.00202,1.34849
70,-0.00204,1.50470
71,-0.00172,1.59219
72,-0.00203,1.35787
73,-0.00190,1.40401
74,-0.00145,1.38386
75,-0.00163,1.04700
76,-0.00138,0.99827
77,-0.00083,0.89330
78,-0.00091,0.48374
79,-0.00059,0.37618
80,0.00003,0.22767
81,-0.00002,-0.20908
82,0.00031,-0.32675
83,0.00092,-0.46802
84,0.00083,-0.88036
85,0.00112,-0.95709
86,0.00165,-1.04192
87,0.00148,-1.38371
88,0.00165,-1.37749
89,0.00207,-1.36899
90,0.00177,-1.60935
91,0.00180,-1.49614
92,0.00208,-1.37775
93,0.00164,-1.50803
94,0.00154,-1.28722
95,0.00168,-1.06635
96,0.00112,-1.10178
97,0.00091,-0.79612
98,0.00096,-0.50250
99,0.00032,-0.47909
100,-0.00077,-0.12991
101,-0.00183,0.08263
102,-0.00259,0.27793
103,-0.00303,0.42577
104,-0.00313,0.51730
105,-0.00292,0.54902
106,-0.00244,0.52330
107,-0.00177,0.44852
108,-0.00100,0.33641
109,-0.00020,0.20195
110,0.00053,0.06019
111,0.00114,-0.07395
112,0.00158,-0.18813
113,0.00181,-0.27308
114,0.00184,-0.32296
115,0.00168,-0.33669
116,0.00137,-0.31581
117,0.00095,-0.26622
118,0.00047,-0.19521
119,-0.00001,-0.11180
120,-0.00045,-0.02577
121,-0.00081,0.05481
122,-0.00106,0.12197
123,-0.00118,0.17062
124,-0.00118,0.19806
125,-0.00107,0.20298
126,-0.00087,0.18765
127,-0.00061,0.15547
128,-0.00031,0.11072
129,-0.00002,0.05967
130,0.00024,0.00778
131,0.00045,-0.04024
132,0.00058,-0.07941
133,0.00065,-0.10674
134,0.00064,-0.12127
135,0.00056,-0.12239
136,0.00043,-0.11088
137,0.00027,-0.08966
138,0.00009,-0.06192
139,-0.00009,-0.03039
140,-0.00024,0.00154
141,-0.00036,0.03013
142,-0.00044,0.05276
143,-0.00047,0.06828
144,-0.00046,0.07616
145,-0.00041,0.07603
146,-0.00032,0.06823
147,-0.00022,0.05418
148,-0.00011,0.03620
149,-0.00000,0.01683
150,0.00008,-0.00171
151,0.00015,-0.01775
152,0.00019,-0.03010
153,0.00020,-0.03810
154,0.00019,-0.04146
155,0.00016,-0.04036
156,0.00011,-0.03536
157,0.00005,-0.02733
158,-0.00001,-0.01736
159,-0.00006,-0.00661
160,-0.00011,0.00378
161,-0.00014,0.01283
162,-0.00016,0.01979
163,-0.00017,0.02417
164,-0.00016,0.02579
165,-0.00014,0.02473
166,-0.00011,0.02131
167,-0.00007,0.01611
168,-0.00004,0.00981
169,-0.00001,0.00313
170,0.00002,-0.00325
171,0.00004,-0.00875
172,0.00005,-0.01289
173,0.00005,-0.01536
174,0.00004,-0.01606
175,0.00003,-0.01509
176,0.00001,-0.01269
177,-0.00001,-0.00920
178,-0.00003,-0.00502
179,-0.00004,-0.00063
180,-0.00006,0.00350
181,-0.00007,0.00700
182,-0.00007,0.00959
183,-0.00007,0.01108
184,-0.00006,0.01138
185,-0.00006,0.01053
186,-0.00005,0.00873
187,-0.00004,0.00619
188,-0.00003,0.00319
189,-0.00002,0.00004
190,-0.00001,-0.00290
191,-0.00001,-0.00537
192,-0.00001,-0.00719
193,-0.00001,-0.00816
194,-0.00002,-0.00820
195,-0.00002,-0.00739
196,-0.00002,-0.00580
197,-0.00003,-0.00359
198,-0.00003,-0.00100
199,0.00000,0.00168
