pos,Magnetic_Field,Electric_Field
0,0.00150,1.27413
1,0.00337,-0.00503
2,-0.00163,-0.69812
3,0.00115,1.00734
4,0.00277,-0.16662
5,-0.00182,-0.79915
6,0.00061,0.72727
7,0.00202,-0.32901
8,-0.00212,-0.88799
9,-0.00001,0.47299
10,0.00123,-0.45220
11,-0.00242,-0.92551
12,-0.00058,0.27997
13,0.00053,-0.50636
14,-0.00260,-0.88774
15,-0.00099,0.16760
16,0.00002,-0.47556
17,-0.00255,-0.76283
18,-0.00116,0.14134
19,-0.00023,-0.36309
20,-0.00224,-0.56286
21,-0.00106,0.18296
22,-0.00022,-0.18982
23,-0.00167,-0.31024
24,-0.00073,0.26614
25,0.00001,0.01039
26,-0.00091,-0.04676
27,-0.00023,0.34606
28,0.00035,0.19704
29,-0.00009,0.19461
30,0.00030,0.39258
31,0.00071,0.33379
32,0.00072,0.36808
33,0.00074,0.36038
34,0.00090,0.39437
35,0.00130,0.47633
36,0.00102,0.26389
37,0.00109,0.35883
38,0.00142,0.41325
39,0.00104,0.17487
40,0.00102,0.24605
41,0.00126,0.27944
42,0.00080,0.02328
43,0.00071,0.08045
44,0.00088,0.10396
45,0.00036,-0.15772
46,0.00021,-0.10163
47,0.00034,-0.07475
48,-0.00020,-0.32868
49,-0.00035,-0.26060
50,-0.00022,-0.21779
51,0.00008,-0.90621
52,-0.00045,-0.67064
53,-0.00069,-0.45025
54,-0.00158,-0.50142
55,-0.00204,-0.22631
56,-0.00217,0.02270
57,-0.00292,-0.01146
58,-0.00320,0.26858
59,-0.00314,0.51032
60,-0.00365,0.45687
61,-0.00370,0.70610
62,-0.00337,0.90628
63,-0.00362,0.80155
64,-0.00341,0.99101
65,-0.00283,1.12439
66,-0.00284,0.94747
67,-0.00240,1.06117
68,-0.00162,1.11708
69,-0.00147,0.86289
70,-0.00089,0.90139
71,-0.00002,0.88604
72,0.00019,0.56626
73,0.00078,0.54649
74,0.00163,0.48162
75,0.00178,0.12231
76,0.00226,0.07393
77,0.00297,-0.00792
78,0.00295,-0.37217
79,0.00323,-0.41330
80,0.00371,-0.47589
81,0.00344,-0.80933
82,0.00346,-0.80890
83,0.00368,-0.82019
84,0.00315,-1.09386
85,0.00292,-1.02663
86,0.00290,-0.96576
87,0.00214,-1.16367
88,0.00172,-1.01897
89,0.00153,-0.88081
90,0.00064,-1.00353
91,0.00011,-0.78758
92,-0.00013,-0.58385
93,-0.00104,-0.64831
94,-0.00154,-0.38283
95,-0.00172,-0.13955
96,-0.00252,-0.17539
97,-0.00288,0.10706
98,-0.00288,0.35526
99,-0.00348,0.31216
100,-0.00368,0.57535
101,-0.00364,0.64080
102,-0.00324,0.64833
103,-0.00256,0.58994
104,-0.00169,0.47905
105,-0.00074,0.33143
106,0.00018,0.16522
107,0.00100,-0.00154
108,0.00164,-0.15227
109,0.00205,-0.27379
110,0.00222,-0.35683
111,0.00215,-0.39703
112,0.00187,-0.39443
113,0.00144,-0.35346
114,0.00090,-0.28182
115,0.00032,-0.18944
116,-0.00024,-0.08751
117,-0.00072,0.01321
118,-0.00109,0.10273
119,-0.00132,0.17353
120,-0.00141,0.22029
121,-0.00134,0.24080
122,-0.00116,0.23561
123,-0.00088,0.20756
124,-0.00055,0.16183
125,-0.00020,0.10441
126,0.00014,0.04221
127,0.00042,-0.01818
128,0.00063,-0.07114
129,0.00076,-0.11193
130,0.00079,-0.13790
131,0.00074,-0.14788
132,0.00062,-0.14225
133,0.00044,-0.12333
134,0.00024,-0.09408
135,0.00002,-0.05832
136,-0.00018,-0.02041
137,-0.00035,0.01594
138,-0.00047,0.04732
139,-0.00053,0.07090
140,-0.00055,0.08535
141,-0.00051,0.09014
142,-0.00043,0.08551
143,-0.00032,0.07298
144,-0.00019,0.05467
145,-0.00006,0.03268
146,0.00006,0.00959
147,0.00016,-0.01200
148,0.00023,-0.03027
149,0.00026,-0.04390
150,0.00027,-0.05181
151,0.00024,-0.05366
152,0.00019,-0.05006
153,0.00012,-0.04196
154,0.00004,-0.03041
155,-0.00004,-0.01677
156,-0.00011,-0.00274
157,-0.00017,0.01013
158,-0.00021,0.02079
159,-0.00023,0.02859
160,-0.00023,0.03307
161,-0.00021,0.03399
162,-0.00017,0.03146
163,-0.00012,0.02605
164,-0.00007,0.01869
165,-0.00003,0.01043
166,0.00002,0.00224
167,0.00005,-0.00507
168,0.00007,-0.01096
169,0.00008,-0.01507
170,0.00007,-0.01724
171,0.00006,-0.01750
172,0.00004,-0.01603
173,0.00001,-0.01317
174,-0.00001,-0.00935
175,-0.00004,-0.00501
176,-0.00007,-0.00062
177,-0.00008,0.00338
178,-0.00009,0.00668
179,-0.00010,0.00905
180,-0.00009,0.01037
181,-0.00008,0.01063
182,-0.00007,0.00994
183,-0.00005,0.00846
184,-0.00003,0.00642
185,-0.00001,0.00406
186,0.00000,0.00164
187,0.00002,-0.00065
188,0.00002,-0.00264
189,0.00002,-0.00418
190,0.00002,-0.00522
191,0.00001,-0.00575
192,-0.00001,-0.00579
193,-0.00002,-0.00539
194,-0.00003,-0.00465
195,-0.00005,-0.00365
196,-0.00006,-0.00245
197,-0.00006,-0.00117
198,-0.00007,0.00015
199,0.00000,0.00145
