pos,Magnetic_Field,Electric_Field
0,-0.00000,-0.00000
1,-0.00000,0.00000
2,-0.00000,-0.00000
3,-0.00000,-0.00000
4,-0.00000,-0.00000
5,0.00000,0.00000
6,-0.00000,-0.00000
7,-0.00000,0.00000
8,-0.00000,-0.00000
9,-0.00000,-0.00000
10,-0.00000,0.00000
11,0.00000,0.00000
12,-0.00000,-0.00000
13,-0.00000,0.00000
14,0.00000,-0.00000
15,-0.00000,-0.00000
16,-0.00000,-0.00000
17,0.00000,0.00000
18,-0.00000,-0.00000
19,0.00000,0.00000
20,-0.00000,-0.00000
21,-0.00000,-0.00000
22,-0.00000,0.00000
23,-0.00000,-0.00000
24,0.00000,0.00000
25,-0.00000,-0.00000
26,0.00000,0.00000
27,-0.00000,-0.00000
28,0.00000,0.00000
29,-0.00000,-0.00000
30,0.00000,0.00000
31,-0.00000,-0.00000
32,0.00000,0.00000
33,-0.00000,-0.00000
34,0.00000,0.00000
35,-0.00000,-0.00000
36,0.00000,0.00000
37,-0.00000,-0.00000
38,0.00000,0.00000
39,-0.00000,-0.00000
40,0.00000,0.00000
41,-0.00000,-0.00000
42,0.00000,0.00000
43,-0.00000,-0.00000
44,0.00000,0.00000
45,-0.00000,-0.00000
46,0.00000,0.00000
47,-0.00000,-0.00000
48,0.00000,0.00000
49,-0.00000,-0.00000
50,0.00000,0.00000
51,-0.00082,0.45399
52,-0.00041,0.30902
53,-0.00000,0.15643
54,0.00041,-0.00000
55,0.00082,-0.15643
56,0.00120,-0.30902
57,0.00156,-0.45399
58,0.00188,-0.58779
59,0.00215,-0.70711
60,0.00236,-0.80902
61,0.00252,-0.89101
62,0.00262,-0.95106
63,0.00265,-0.98769
64,0.00262,-1.00000
65,0.00252,-0.98769
66,0.00236,-0.95106
67,0.00183,-1.00930
68,0.00140,-0.98689
69,0.00099,-0.92137
70,0.00054,-0.83847
71,0.00004,-0.74716
72,-0.00048,-0.64476
73,-0.00098,-0.52633
74,-0.00145,-0.39155
75,-0.00189,-0.24564
76,-0.00228,-0.09589
77,-0.00262,0.05221
78,-0.00291,0.19608
79,-0.00313,0.33447
80,-0.00328,0.46519
81,-0.00334,0.58443
82,-0.00332,0.68777
83,-0.00322,0.77187
84,-0.00306,0.83512
85,-0.00282,0.87705
86,-0.00251,0.89725
87,-0.00214,0.89496
88,-0.00172,0.86946
89,-0.00126,0.82097
90,-0.00077,0.75091
91,-0.00027,0.66164
92,0.00024,0.55572
93,0.00074,0.43561
94,0.00122,0.30384
95,0.00167,0.16338
96,0.00207,0.01784
97,0.00242,-0.12879
98,0.00271,-0.27268
99,0.00293,-0.41037
100,0.00322,-0.53874
101,0.00314,-0.60536
102,0.00277,-0.60623
103,0.00213,-0.55378
104,0.00135,-0.44837
105,0.00050,-0.31846
106,-0.00036,-0.16534
107,-0.00105,-0.01478
108,-0.00166,0.11461
109,-0.00204,0.23195
110,-0.00213,0.30249
111,-0.00210,0.32946
112,-0.00192,0.33919
113,-0.00145,0.30913
114,-0.00087,0.22637
115,-0.00040,0.12873
116,-0.00015,0.05706
117,-0.00004,0.02001
118,-0.00001,0.00563
119,-0.00000,0.00129
120,-0.00000,0.00024
121,-0.00000,0.00004
122,-0.00000,0.00000
123,-0.00000,0.00000
124,-0.00000,0.00000
125,-0.00000,0.00000
126,-0.00000,0.00000
127,-0.00000,0.00000
128,-0.00000,0.00000
129,-0.00000,0.00000
130,-0.00000,0.00000
131,-0.00000,0.00000
132,-0.00000,0.00000
133,0.00000,0.00000
134,0.00000,0.00000
135,0.00000,0.00000
136,0.00000,0.00000
137,0.00000,0.00000
138,0.00000,0.00000
139,0.00000,0.00000
140,0.00000,0.00000
141,0.00000,0.00000
142,0.00000,0.00000
143,0.00000,0.00000
144,0.00000,0.00000
145,0.00000,0.00000
146,0.00000,0.00000
147,0.00000,0.00000
148,0.00000,0.00000
149,0.00000,0.00000
150,0.00000,0.00000
151,0.00000,0.00000
152,0.00000,0.00000
153,0.00000,0.00000
154,0.00000,0.00000
155,0.00000,0.00000
156,0.00000,0.00000
157,0.00000,0.00000
158,0.00000,0.00000
159,0.00000,0.00000
160,0.00000,0.00000
161,0.00000,0.00000
162,0.00000,0.00000
163,0.00000,0.00000
164,0.00000,0.00000
165,0.00000,0.00000
166,0.00000,0.00000
167,0.00000,0.00000
168,0.00000,0.00000
169,0.00000,0.00000
170,0.00000,0.00000
171,0.00000,0.00000
172,0.00000,0.00000
173,0.00000,0.00000
174,0.00000,0.00000
175,0.00000,0.00000
176,0.00000,0.00000
177,0.00000,0.00000
178,0.00000,0.00000
179,0.00000,0.00000
180,0.00000,0.00000
181,0.00000,0.00000
182,0.00000,0.00000
183,0.00000,0.00000
184,0.00000,0.00000
185,0.00000,0.00000
186,0.00000,0.00000
187,0.00000,0.00000
188,0.00000,0.00000
189,0.00000,0.00000
190,0.00000,0.00000
191,0.00000,0.00000
192,0.00000,0.00000
193,0.00000,0.00000
194,0.00000,0.00000
195,0.00000,0.00000
196,0.00000,0.00000
197,0.00000,0.00000
198,0.00000,0.00000
199,0.00000,0.00000
