pos,Magnetic_Field,Electric_Field
0,-0.00008,-0.02997
1,-0.00008,-0.02965
2,-0.00008,-0.02934
3,-0.00008,-0.02903
4,-0.00008,-0.02872
5,-0.00008,-0.02842
6,-0.00007,-0.02812
7,-0.00007,-0.02783
8,-0.00007,-0.02754
9,-0.00007,-0.02725
10,-0.00007,-0.02697
11,-0.00007,-0.02669
12,-0.00007,-0.02642
13,-0.00007,-0.02615
14,-0.00007,-0.02588
15,-0.00007,-0.02561
16,-0.00007,-0.02535
17,-0.00007,-0.02510
18,-0.00007,-0.02484
19,-0.00007,-0.02459
20,-0.00006,-0.02434
21,-0.00006,-0.02410
22,-0.00006,-0.02386
23,-0.00006,-0.02362
24,-0.00006,-0.02338
25,-0.00006,-0.02315
26,-0.00006,-0.02292
27,-0.00006,-0.02269
28,-0.00006,-0.02247
29,-0.00006,-0.02225
30,-0.00006,-0.02203
31,-0.00006,-0.02182
32,-0.00006,-0.02160
33,-0.00006,-0.02139
34,-0.00006,-0.02119
35,-0.00006,-0.02098
36,-0.00006,-0.02078
37,-0.00005,-0.02058
38,-0.00005,-0.02038
39,-0.00005,-0.02019
40,-0.00005,-0.02000
41,-0.00005,-0.01981
42,-0.00005,-0.01962
43,-0.00005,-0.01943
44,-0.00005,-0.01925
45,-0.00005,-0.01907
46,-0.00005,-0.01889
47,-0.00005,-0.01871
48,-0.00005,-0.01854
49,-0.00005,-0.01837
50,-0.00005,-0.01820
51,-0.00005,-0.01803
52,-0.00005,-0.01786
53,-0.00005,-0.01770
54,-0.00005,-0.01754
55,-0.00005,-0.01738
56,-0.00005,-0.01722
57,-0.00005,-0.01707
58,-0.00004,-0.01691
59,-0.00004,-0.01676
60,-0.00004,-0.01661
61,-0.00004,-0.01646
62,-0.00004,-0.01631
63,-0.00004,-0.01617
64,-0.00004,-0.01602
65,-0.00004,-0.01588
66,-0.00004,-0.01574
67,-0.00004,-0.01560
68,-0.00004,-0.01547
69,-0.00004,-0.01533
70,-0.00004,-0.01520
71,-0.00004,-0.01507
72,-0.00004,-0.01494
73,-0.00004,-0.01481
74,-0.00004,-0.01468
75,-0.00004,-0.01455
76,-0.00004,-0.01443
77,-0.00004,-0.01431
78,-0.00004,-0.01419
79,-0.00004,-0.01407
80,-0.00004,-0.01395
81,-0.00004,-0.01383
82,-0.00004,-0.01371
83,-0.00004,-0.01360
84,-0.00004,-0.01348
85,-0.00004,-0.01337
86,-0.00004,-0.01326
87,-0.00003,-0.01315
88,-0.00003,-0.01304
89,-0.00003,-0.01294
90,-0.00003,-0.01283
91,-0.00003,-0.01273
92,-0.00003,-0.01262
93,-0.00003,-0.01252
94,-0.00003,-0.01242
95,-0.00003,-0.01232
96,-0.00003,-0.01222
97,-0.00003,-0.01212
98,-0.00003,-0.01203
99,-0.00003,-0.01193
100,-0.00004,-0.01183
101,-0.00004,-0.01173
102,-0.00004,-0.01162
103,-0.00005,-0.01151
104,-0.00005,-0.01138
105,-0.00005,-0.01125
106,-0.00006,-0.01111
107,-0.00006,-0.01097
108,-0.00006,-0.01081
109,-0.00006,-0.01066
110,-0.00007,-0.01049
111,-0.00007,-0.01032
112,-0.00007,-0.01014
113,-0.00008,-0.00995
114,-0.00008,-0.00976
115,-0.00008,-0.00956
116,-0.00009,-0.00936
117,-0.00009,-0.00915
118,-0.00009,-0.00894
119,-0.00009,-0.00872
120,-0.00010,-0.00849
121,-0.00010,-0.00826
122,-0.00010,-0.00802
123,-0.00010,-0.00778
124,-0.00011,-0.00754
125,-0.00011,-0.00728
126,-0.00011,-0.00704
127,-0.00011,-0.00678
128,-0.00011,-0.00651
129,-0.00012,-0.00626
130,-0.00012,-0.00598
131,-0.00012,-0.00569
132,-0.00012,-0.00545
133,-0.00012,-0.00516
134,-0.00013,-0.00483
135,-0.00013,-0.00461
136,-0.00013,-0.00435
137,-0.00013,-0.00394
138,-0.00013,-0.00366
139,-0.00013,-0.00359
140,-0.00014,-0.00321
141,-0.00014,-0.00250
142,-0.00013,-0.00236
143,-0.00013,-0.00291
144,-0.00014,-0.00258
145,-0.00016,-0.00056
146,-0.00015,0.00095
147,-0.00011,-0.00122
148,-0.00008,-0.00634
149,-0.00011,-0.00834
150,-0.00024,-0.00008
151,-0.00044,0.02045
152,-0.00064,0.04789
153,-0.00077,0.07282
154,-0.00079,0.08719
155,-0.00072,0.08810
156,-0.00058,0.07779
157,-0.00042,0.06134
158,-0.00028,0.04382
159,-0.00017,0.02866
160,-0.00010,0.01731
161,-0.00005,0.00971
162,-0.00003,0.00509
163,-0.00001,0.00250
164,-0.00001,0.00116
165,-0.00000,0.00050
166,-0.00000,0.00021
167,-0.00000,0.00008
168,-0.00000,0.00003
169,-0.00000,0.00001
170,-0.00000,0.00000
171,-0.00000,0.00000
172,-0.00000,0.00000
173,-0.00000,0.00000
174,-0.00000,0.00000
175,-0.00000,0.00000
176,-0.00000,0.00000
177,-0.00000,0.00000
178,-0.00000,0.00000
179,-0.00000,0.00000
180,-0.00000,0.00000
181,-0.00000,0.00000
182,-0.00000,0.00000
183,-0.00000,0.00000
184,-0.00000,0.00000
185,-0.00000,0.00000
186,-0.00000,0.00000
187,-0.00000,0.00000
188,-0.00000,0.00000
189,-0.00000,0.00000
190,-0.00000,0.00000
191,-0.00000,0.00000
192,-0.00000,0.00000
193,-0.00000,0.00000
194,-0.00000,0.00000
195,-0.00000,0.00000
196,-0.00000,0.00000
197,-0.00000,0.00000
198,-0.00000,0.00000
