pos,Magnetic_Field,Electric_Field
0,-0.00005,-0.01962
1,-0.00005,-0.01943
2,-0.00005,-0.01925
3,-0.00005,-0.01907
4,-0.00005,-0.01889
5,-0.00005,-0.01871
6,-0.00005,-0.01854
7,-0.00005,-0.01837
8,-0.00005,-0.01820
9,-0.00005,-0.01803
10,-0.00005,-0.01786
11,-0.00005,-0.01770
12,-0.00005,-0.01754
13,-0.00005,-0.01738
14,-0.00005,-0.01722
15,-0.00005,-0.01707
16,-0.00004,-0.01691
17,-0.00004,-0.01676
18,-0.00004,-0.01661
19,-0.00004,-0.01646
20,-0.00004,-0.01631
21,-0.00004,-0.01617
22,-0.00004,-0.01602
23,-0.00004,-0.01588
24,-0.00004,-0.01574
25,-0.00004,-0.01560
26,-0.00004,-0.01547
27,-0.00004,-0.01533
28,-0.00004,-0.01520
29,-0.00004,-0.01507
30,-0.00004,-0.01494
31,-0.00004,-0.01481
32,-0.00004,-0.01468
33,-0.00004,-0.01455
34,-0.00004,-0.01443
35,-0.00004,-0.01431
36,-0.00004,-0.01419
37,-0.00004,-0.01407
38,-0.00004,-0.01395
39,-0.00004,-0.01383
40,-0.00004,-0.01371
41,-0.00004,-0.01360
42,-0.00004,-0.01348
43,-0.00004,-0.01337
44,-0.00004,-0.01326
45,-0.00003,-0.01315
46,-0.00003,-0.01304
47,-0.00003,-0.01294
48,-0.00003,-0.01283
49,-0.00003,-0.01273
50,-0.00003,-0.01262
51,-0.00003,-0.01252
52,-0.00003,-0.01242
53,-0.00003,-0.01232
54,-0.00003,-0.01222
55,-0.00003,-0.01212
56,-0.00003,-0.01203
57,-0.00003,-0.01193
58,-0.00003,-0.01183
59,-0.00003,-0.01174
60,-0.00003,-0.01165
61,-0.00003,-0.01156
62,-0.00003,-0.01147
63,-0.00003,-0.01138
64,-0.00003,-0.01129
65,-0.00003,-0.01120
66,-0.00003,-0.01111
67,-0.00003,-0.01103
68,-0.00003,-0.01094
69,-0.00003,-0.01086
70,-0.00003,-0.01078
71,-0.00003,-0.01070
72,-0.00003,-0.01061
73,-0.00003,-0.01053
74,-0.00003,-0.01045
75,-0.00003,-0.01038
76,-0.00003,-0.01030
77,-0.00003,-0.01022
78,-0.00003,-0.01015
79,-0.00003,-0.01007
80,-0.00003,-0.01000
81,-0.00003,-0.00992
82,-0.00003,-0.00985
83,-0.00003,-0.00978
84,-0.00003,-0.00971
85,-0.00003,-0.00964
86,-0.00003,-0.00957
87,-0.00003,-0.00950
88,-0.00003,-0.00943
89,-0.00002,-0.00936
90,-0.00002,-0.00929
91,-0.00002,-0.00923
92,-0.00002,-0.00916
93,-0.00002,-0.00910
94,-0.00002,-0.00903
95,-0.00002,-0.00897
96,-0.00002,-0.00891
97,-0.00002,-0.00884
98,-0.00002,-0.00878
99,-0.00002,-0.00872
100,-0.00003,-0.00866
101,-0.00003,-0.00859
102,-0.00003,-0.00852
103,-0.00003,-0.00845
104,-0.00004,-0.00837
105,-0.00004,-0.00828
106,-0.00004,-0.00819
107,-0.00004,-0.00809
108,-0.00005,-0.00799
109,-0.00005,-0.00788
110,-0.00005,-0.00777
111,-0.00005,-0.00766
112,-0.00006,-0.00754
113,-0.00006,-0.00741
114,-0.00006,-0.00728
115,-0.00006,-0.00715
116,-0.00007,-0.00701
117,-0.00007,-0.00687
118,-0.00007,-0.00672
119,-0.00007,-0.00657
120,-0.00007,-0.00642
121,-0.00008,-0.00626
122,-0.00008,-0.00610
123,-0.00008,-0.00593
124,-0.00008,-0.00577
125,-0.00008,-0.00559
126,-0.00009,-0.00542
127,-0.00009,-0.00524
128,-0.00009,-0.00506
129,-0.00009,-0.00488
130,-0.00009,-0.00469
131,-0.00010,-0.00450
132,-0.00010,-0.00431
133,-0.00010,-0.00412
134,-0.00010,-0.00392
135,-0.00010,-0.00373
136,-0.00010,-0.00352
137,-0.00010,-0.00332
138,-0.00010,-0.00313
139,-0.00011,-0.00292
140,-0.00011,-0.00271
141,-0.00011,-0.00252
142,-0.00011,-0.00230
143,-0.00011,-0.00207
144,-0.00011,-0.00190
145,-0.00011,-0.00170
146,-0.00011,-0.00142
147,-0.00011,-0.00123
148,-0.00011,-0.00112
149,-0.00011,-0.00085
150,-0.00012,-0.00048
151,-0.00011,-0.00039
152,-0.00011,-0.00045
153,-0.00012,-0.00006
154,-0.00012,0.00064
155,-0.00011,0.00072
156,-0.00011,0.00001
157,-0.00011,-0.00013
158,-0.00013,0.00142
159,-0.00013,0.00345
160,-0.00011,0.00320
161,-0.00007,-0.00042
162,-0.00006,-0.00471
163,-0.00010,-0.00458
164,-0.00020,0.00353
165,-0.00034,0.01890
166,-0.00046,0.03682
167,-0.00052,0.05141
168,-0.00052,0.05862
169,-0.00046,0.05757
170,-0.00037,0.05015
171,-0.00027,0.03947
172,-0.00018,0.02841
173,-0.00012,0.01889
174,-0.00007,0.01167
175,-0.00004,0.00675
176,-0.00002,0.00367
177,-0.00001,0.00188
178,-0.00000,0.00091
179,-0.00000,0.00042
180,-0.00000,0.00018
181,-0.00000,0.00008
182,-0.00000,0.00003
183,-0.00000,0.00001
184,-0.00000,0.00000
185,-0.00000,0.00000
186,-0.00000,0.00000
187,-0.00000,0.00000
188,-0.00000,0.00000
189,-0.00000,0.00000
190,-0.00000,0.00000
191,-0.00000,0.00000
192,-0.00000,0.00000
193,-0.00000,0.00000
194,-0.00000,0.00000
195,-0.00000,0.00000
196,-0.00000,0.00000
197,-0.00000,0.00000
198,-0.00000,0.00000
