0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
0.00595,-0.00705,0.00389,-0.00902,0.00053,-0.01092,-0.00189,-0.01089,-0.00038,-0.01009,0.00198,-0.00801,0.00308,-0.00664,0.00318,-0.00489,0.00489,-0.00318,0.00664,-0.00308,0.00801,-0.00198,0.01009,0.00038,0.01089,0.00189,0.01092,-0.00053,0.00902,-0.00389,0.00705,-0.00595,
-0.00705,0.00360,-0.00867,0.00014,-0.01091,-0.00242,-0.00803,0.00095,-0.00665,0.00408,-0.00604,0.00467,-0.00640,0.00492,-0.00505,0.00534,-0.00534,0.00505,-0.00492,0.00640,-0.00467,0.00604,-0.00408,0.00665,-0.00095,0.00803,0.00242,0.01091,-0.00014,0.00867,-0.00360,0.00705,
0.00409,-0.01196,0.00043,-0.01727,0.00311,-0.01495,0.00740,-0.01127,0.01001,-0.00928,0.00998,-0.00499,0.01391,-0.00440,0.01309,-0.00935,0.00935,-0.01309,0.00440,-0.01391,0.00499,-0.00998,0.00928,-0.01001,0.01127,-0.00740,0.01495,-0.00311,0.01727,-0.00043,0.01196,-0.00409,
-0.01094,-0.00196,-0.01267,-0.00451,-0.00546,-0.00212,0.00023,0.00060,0.00252,0.00568,0.00495,0.01023,0.00746,0.00913,0.00764,0.00148,-0.00148,-0.00764,-0.00913,-0.00746,-0.01023,-0.00495,-0.00568,-0.00252,-0.00060,-0.00023,0.00212,0.00546,0.00451,0.01267,0.00196,0.01094,
-0.00115,-0.01586,-0.00873,-0.01663,0.00700,-0.00271,0.01113,-0.00559,0.01220,-0.00056,0.01805,0.00740,0.02700,0.00670,0.02219,-0.00850,0.00850,-0.02219,-0.00670,-0.02700,-0.00740,-0.01805,0.00056,-0.01220,0.00559,-0.01113,0.00271,-0.00700,0.01663,0.00873,0.01586,0.00115,
-0.01486,-0.00451,-0.01856,0.00217,-0.00258,0.01446,0.00158,0.01341,0.00460,0.02116,0.01234,0.02788,0.01661,0.02355,0.01182,0.00688,-0.00688,-0.01182,-0.02355,-0.01661,-0.02788,-0.01234,-0.02116,-0.00460,-0.01341,-0.00158,-0.01446,0.00258,-0.00217,0.01856,0.00451,0.01486,
-0.00395,-0.01655,-0.00754,-0.01198,0.01329,0.00844,0.02128,0.00917,0.02549,0.01577,0.03197,0.02117,0.03744,0.01566,0.02650,-0.00581,0.00581,-0.02650,-0.01566,-0.03744,-0.02117,-0.03197,-0.01577,-0.02549,-0.00917,-0.02128,-0.00844,-0.01329,0.01198,0.00754,0.01655,0.00395,
-0.01660,-0.00335,-0.00974,0.00663,0.00676,0.01870,0.01989,0.02875,0.02789,0.03743,0.03155,0.03938,0.02759,0.02866,0.01577,0.00752,-0.00752,-0.01577,-0.02866,-0.02759,-0.03938,-0.03155,-0.03743,-0.02789,-0.02875,-0.01989,-0.01870,-0.00676,-0.00663,0.00974,0.00335,0.01660,
-0.00441,-0.01404,0.00237,-0.00602,0.02315,0.01416,0.04095,0.02603,0.04974,0.03371,0.05199,0.03431,0.04824,0.02257,0.03061,-0.00314,0.00314,-0.03061,-0.02257,-0.04824,-0.03431,-0.05199,-0.03371,-0.04974,-0.02603,-0.04095,-0.01416,-0.02315,0.00602,-0.00237,0.01404,0.00441,
-0.01330,-0.00270,-0.00271,0.01121,0.01707,0.02762,0.03841,0.04518,0.04952,0.05511,0.04999,0.05480,0.04212,0.04251,0.02447,0.01307,-0.01307,-0.02447,-0.04251,-0.04212,-0.05480,-0.04999,-0.05511,-0.04952,-0.04518,-0.03841,-0.02762,-0.01707,-0.01121,0.00271,0.00270,0.01330,
-0.00103,-0.01260,0.00813,-0.00082,0.03363,0.02475,0.05577,0.04236,0.06824,0.05140,0.06956,0.05345,0.06905,0.04662,0.05176,0.00930,-0.00930,-0.05176,-0.04662,-0.06905,-0.05345,-0.06956,-0.05140,-0.06824,-0.04236,-0.05577,-0.02475,-0.03363,0.00082,-0.00813,0.01260,0.00103,
-0.01399,0.00195,0.00002,0.02049,0.02474,0.04181,0.04836,0.06218,0.06267,0.07324,0.06837,0.08127,0.07661,0.09207,0.08572,0.05630,-0.05630,-0.08572,-0.09207,-0.07661,-0.08127,-0.06837,-0.07324,-0.06267,-0.06218,-0.04836,-0.04181,-0.02474,-0.02049,-0.00002,-0.00195,0.01399,
-0.00366,-0.00729,0.01124,0.01177,0.03981,0.04100,0.06261,0.05750,0.07839,0.07065,0.09262,0.09075,0.13405,0.17016,0.26252,0.22056,-0.22056,-0.26252,-0.17016,-0.13405,-0.09075,-0.09262,-0.07065,-0.07839,-0.05750,-0.06261,-0.04100,-0.03981,-0.01177,-0.01124,0.00729,0.00366,
-0.01708,0.00642,0.00150,0.03385,0.02844,0.05953,0.05000,0.07534,0.06656,0.09370,0.09312,0.14064,0.20985,0.43579,0.88660,1.30901,-1.30901,-0.88660,-0.43579,-0.20985,-0.14064,-0.09312,-0.09370,-0.06656,-0.07534,-0.05000,-0.05953,-0.02844,-0.03385,-0.00150,-0.00642,0.01708,
-0.00562,-0.00379,0.01390,0.02194,0.04346,0.05342,0.06394,0.06771,0.08286,0.08919,0.12133,0.17301,0.38676,1.06027,3.32917,8.51119,-8.51119,-3.32917,-1.06027,-0.38676,-0.17301,-0.12133,-0.08919,-0.08286,-0.06771,-0.06394,-0.05342,-0.04346,-0.02194,-0.01390,0.00379,0.00562,
-0.01762,0.00739,0.00406,0.03779,0.03195,0.06448,0.05130,0.07948,0.06957,0.10334,0.11677,0.22250,0.55134,2.14903,10.53097,60.79470,-60.79470,-10.53097,-2.14903,-0.55134,-0.22250,-0.11677,-0.10334,-0.06957,-0.07948,-0.05130,-0.06448,-0.03195,-0.03779,-0.00406,-0.00739,0.01762,
-0.00562,-0.00379,0.01390,0.02194,0.04346,0.05342,0.06394,0.06771,0.08286,0.08919,0.12133,0.17301,0.38676,1.06027,3.32917,8.51119,-8.51119,-3.32917,-1.06027,-0.38676,-0.17301,-0.12133,-0.08919,-0.08286,-0.06771,-0.06394,-0.05342,-0.04346,-0.02194,-0.01390,0.00379,0.00562,
-0.01708,0.00642,0.00150,0.03385,0.02844,0.05953,0.05000,0.07534,0.06656,0.09370,0.09312,0.14064,0.20985,0.43579,0.88660,1.30901,-1.30901,-0.88660,-0.43579,-0.20985,-0.14064,-0.09312,-0.09370,-0.06656,-0.07534,-0.05000,-0.05953,-0.02844,-0.03385,-0.00150,-0.00642,0.01708,
-0.00366,-0.00729,0.01124,0.01177,0.03981,0.04100,0.06261,0.05750,0.07839,0.07065,0.09262,0.09075,0.13405,0.17016,0.26252,0.22056,-0.22056,-0.26252,-0.17016,-0.13405,-0.09075,-0.09262,-0.07065,-0.07839,-0.05750,-0.06261,-0.04100,-0.03981,-0.01177,-0.01124,0.00729,0.00366,
-0.01399,0.00195,0.00002,0.02049,0.02474,0.04181,0.04836,0.06218,0.06267,0.07324,0.06837,0.08127,0.07661,0.09207,0.08572,0.05630,-0.05630,-0.08572,-0.09207,-0.07661,-0.08127,-0.06837,-0.07324,-0.06267,-0.06218,-0.04836,-0.04181,-0.02474,-0.02049,-0.00002,-0.00195,0.01399,
-0.00103,-0.01260,0.00813,-0.00082,0.03363,0.02475,0.05577,0.04236,0.06824,0.05140,0.06956,0.05345,0.06905,0.04662,0.05176,0.00930,-0.00930,-0.05176,-0.04662,-0.06905,-0.05345,-0.06956,-0.05140,-0.06824,-0.04236,-0.05577,-0.02475,-0.03363,0.00082,-0.00813,0.01260,0.00103,
-0.01330,-0.00270,-0.00271,0.01121,0.01707,0.02762,0.03841,0.04518,0.04952,0.05511,0.04999,0.05480,0.04212,0.04251,0.02447,0.01307,-0.01307,-0.02447,-0.04251,-0.04212,-0.05480,-0.04999,-0.05511,-0.04952,-0.04518,-0.03841,-0.02762,-0.01707,-0.01121,0.00271,0.00270,0.01330,
-0.00441,-0.01404,0.00237,-0.00602,0.02315,0.01416,0.04095,0.02603,0.04974,0.03371,0.05199,0.03431,0.04824,0.02257,0.03061,-0.00314,0.00314,-0.03061,-0.02257,-0.04824,-0.03431,-0.05199,-0.03371,-0.04974,-0.02603,-0.04095,-0.01416,-0.02315,0.00602,-0.00237,0.01404,0.00441,
-0.01660,-0.00335,-0.00974,0.00663,0.00676,0.01870,0.01989,0.02875,0.02789,0.03743,0.03155,0.03938,0.02759,0.02866,0.01577,0.00752,-0.00752,-0.01577,-0.02866,-0.02759,-0.03938,-0.03155,-0.03743,-0.02789,-0.02875,-0.01989,-0.01870,-0.00676,-0.00663,0.00974,0.00335,0.01660,
