0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
-0.00630,0.00078,-0.00776,-0.00294,-0.00923,-0.00044,-0.00599,0.00010,-0.00715,0.00836,-0.00276,0.00822,-0.00512,0.00750,-0.00381,0.00563,-0.00563,0.00381,-0.00750,0.00512,-0.00822,0.00276,-0.00836,0.00715,-0.00010,0.00599,0.00044,0.00923,0.00294,0.00776,-0.00078,0.00630,
0.00078,-0.00803,-0.00057,-0.00577,0.00386,-0.00657,0.00401,-0.00303,0.01025,-0.00241,0.00880,-0.00274,0.01156,-0.00135,0.00865,-0.00603,0.00603,-0.00865,0.00135,-0.01156,0.00274,-0.00880,0.00241,-0.01025,0.00303,-0.00401,0.00657,-0.00386,0.00577,0.00057,0.00803,-0.00078,
-0.01238,0.00300,-0.00796,0.00147,-0.00782,0.00665,-0.00117,0.01022,0.00154,0.01372,0.00392,0.01484,0.00432,0.00837,-0.00591,0.00412,-0.00412,0.00591,-0.00837,-0.00432,-0.01484,-0.00392,-0.01372,-0.00154,-0.01022,0.00117,-0.00665,0.00782,-0.00147,0.00796,-0.00300,0.01238,
-0.00545,-0.00698,0.00332,-0.00545,0.01708,-0.00596,0.01851,-0.00178,0.02399,0.00479,0.02289,-0.00304,0.03007,-0.00563,0.01148,-0.01038,0.01038,-0.01148,0.00563,-0.03007,0.00304,-0.02289,-0.00479,-0.02399,0.00178,-0.01851,0.00596,-0.01708,0.00545,-0.00332,0.00698,0.00545,
-0.01875,0.00550,-0.00331,0.00275,0.00428,0.00804,0.01606,0.01227,0.02233,0.01467,0.01685,0.01641,0.01787,0.00494,-0.00081,-0.00022,0.00022,0.00081,-0.00494,-0.01787,-0.01641,-0.01685,-0.01467,-0.02233,-0.01227,-0.01606,-0.00804,-0.00428,-0.00275,0.00331,-0.00550,0.01875,
-0.00775,-0.00306,0.00523,0.00150,0.02358,0.00499,0.02732,0.00907,0.03487,0.01176,0.03520,0.00264,0.03421,-0.00471,0.01696,-0.01590,0.01590,-0.01696,0.00471,-0.03421,-0.00264,-0.03520,-0.01176,-0.03487,-0.00907,-0.02732,-0.00499,-0.02358,-0.00150,-0.00523,0.00306,0.00775,
-0.01525,0.00927,-0.00364,0.01705,0.00576,0.02502,0.01950,0.03229,0.02255,0.03119,0.01771,0.02301,0.01303,0.01447,-0.00200,0.00546,-0.00546,0.00200,-0.01447,-0.01303,-0.02301,-0.01771,-0.03119,-0.02255,-0.03229,-0.01950,-0.02502,-0.00576,-0.01705,0.00364,-0.00927,0.01525,
0.00093,-0.00547,0.01459,0.00599,0.02978,0.01731,0.03638,0.01913,0.03952,0.02424,0.03305,0.00885,0.02827,-0.00028,0.01210,-0.00687,0.00687,-0.01210,0.00028,-0.02827,-0.00885,-0.03305,-0.02424,-0.03952,-0.01913,-0.03638,-0.01731,-0.02978,-0.00599,-0.01459,0.00547,-0.00093,
-0.00789,0.00833,0.00871,0.02112,0.02234,0.03349,0.02809,0.04196,0.02971,0.03012,0.01488,0.02868,0.00571,0.01227,-0.00628,0.00975,-0.00975,0.00628,-0.01227,-0.00571,-0.02868,-0.01488,-0.03012,-0.02971,-0.04196,-0.02809,-0.03349,-0.02234,-0.02112,-0.00871,-0.00833,0.00789,
0.00415,0.00263,0.01681,0.02084,0.03351,0.03059,0.04389,0.02928,0.03738,0.01753,0.03431,0.00480,0.01355,-0.01128,0.01049,-0.00980,0.00980,-0.01049,0.01128,-0.01355,-0.00480,-0.03431,-0.01753,-0.03738,-0.02928,-0.04389,-0.03059,-0.03351,-0.02084,-0.01681,-0.00263,-0.00415,
-0.00538,0.01890,0.00640,0.03964,0.01862,0.05247,0.02789,0.04862,0.02608,0.02667,0.00907,0.00770,-0.00791,-0.00875,-0.01135,0.00003,-0.00003,0.01135,0.00875,0.00791,-0.00770,-0.00907,-0.02667,-0.02608,-0.04862,-0.02789,-0.05247,-0.01862,-0.03964,-0.00640,-0.01890,0.00538,
0.01025,0.00816,0.01759,0.02834,0.03227,0.03998,0.03776,0.03340,0.03341,0.01666,0.01457,-0.01180,-0.00718,-0.04158,-0.02020,-0.01754,0.01754,0.02020,0.04158,0.00718,0.01180,-0.01457,-0.01666,-0.03341,-0.03340,-0.03776,-0.03998,-0.03227,-0.02834,-0.01759,-0.00816,-0.01025,
-0.00158,0.02285,0.01103,0.04808,0.02283,0.05744,0.02519,0.05095,0.01819,0.01643,-0.01296,-0.01103,-0.03922,-0.05107,-0.05024,0.00300,-0.00300,0.05024,0.05107,0.03922,0.01103,0.01296,-0.01643,-0.01819,-0.05095,-0.02519,-0.05744,-0.02283,-0.04808,-0.01103,-0.02285,0.00158,
0.01132,0.01166,0.02591,0.02834,0.04116,0.03793,0.04568,0.02680,0.02898,-0.00139,-0.00292,-0.04728,-0.05059,-0.08633,-0.00856,0.10776,-0.10776,0.00856,0.08633,0.05059,0.04728,0.00292,0.00139,-0.02898,-0.02680,-0.04568,-0.03793,-0.04116,-0.02834,-0.02591,-0.01166,-0.01132,
0.00282,0.02263,0.01556,0.04317,0.02853,0.05259,0.02994,0.04515,0.01650,0.00518,-0.03274,-0.04951,-0.08724,-0.04099,0.24647,1.29075,-1.29075,-0.24647,0.04099,0.08724,0.04951,0.03274,-0.00518,-0.01650,-0.04515,-0.02994,-0.05259,-0.02853,-0.04317,-0.01556,-0.02263,-0.00282,
0.01213,0.01131,0.02970,0.02355,0.04478,0.03171,0.05190,0.02212,0.02760,-0.00910,-0.01253,-0.07022,-0.06678,0.06159,1.42840,11.48334,-11.48334,-1.42840,-0.06159,0.06678,0.07022,0.01253,0.00910,-0.02760,-0.02212,-0.05190,-0.03171,-0.04478,-0.02355,-0.02970,-0.01131,-0.01213,
0.00282,0.02263,0.01556,0.04317,0.02853,0.05259,0.02994,0.04515,0.01650,0.00518,-0.03274,-0.04951,-0.08724,-0.04099,0.24647,1.29075,-1.29075,-0.24647,0.04099,0.08724,0.04951,0.03274,-0.00518,-0.01650,-0.04515,-0.02994,-0.05259,-0.02853,-0.04317,-0.01556,-0.02263,-0.00282,
0.01132,0.01166,0.02591,0.02834,0.04116,0.03793,0.04568,0.02680,0.02898,-0.00139,-0.00292,-0.04728,-0.05059,-0.08633,-0.00856,0.10776,-0.10776,0.00856,0.08633,0.05059,0.04728,0.00292,0.00139,-0.02898,-0.02680,-0.04568,-0.03793,-0.04116,-0.02834,-0.02591,-0.01166,-0.01132,
-0.00158,0.02285,0.01103,0.04808,0.02283,0.05744,0.02519,0.05095,0.01819,0.01643,-0.01296,-0.01103,-0.03922,-0.05107,-0.05024,0.00300,-0.00300,0.05024,0.05107,0.03922,0.01103,0.01296,-0.01643,-0.01819,-0.05095,-0.02519,-0.05744,-0.02283,-0.04808,-0.01103,-0.02285,0.00158,
0.01025,0.00816,0.01759,0.02834,0.03227,0.03998,0.03776,0.03340,0.03341,0.01666,0.01457,-0.01180,-0.00718,-0.04158,-0.02020,-0.01754,0.01754,0.02020,0.04158,0.00718,0.01180,-0.01457,-0.01666,-0.03341,-0.03340,-0.03776,-0.03998,-0.03227,-0.02834,-0.01759,-0.00816,-0.01025,
-0.00538,0.01890,0.00640,0.03964,0.01862,0.05247,0.02789,0.04862,0.02608,0.02667,0.00907,0.00770,-0.00791,-0.00875,-0.01135,0.00003,-0.00003,0.01135,0.00875,0.00791,-0.00770,-0.00907,-0.02667,-0.02608,-0.04862,-0.02789,-0.05247,-0.01862,-0.03964,-0.00640,-0.01890,0.00538,
0.00415,0.00263,0.01681,0.02084,0.03351,0.03059,0.04389,0.02928,0.03738,0.01753,0.03431,0.00480,0.01355,-0.01128,0.01049,-0.00980,0.00980,-0.01049,0.01128,-0.01355,-0.00480,-0.03431,-0.01753,-0.03738,-0.02928,-0.04389,-0.03059,-0.03351,-0.02084,-0.01681,-0.00263,-0.00415,
-0.00789,0.00833,0.00871,0.02112,0.02234,0.03349,0.02809,0.04196,0.02971,0.03012,0.01488,0.02868,0.00571,0.01227,-0.00628,0.00975,-0.00975,0.00628,-0.01227,-0.00571,-0.02868,-0.01488,-0.03012,-0.02971,-0.04196,-0.02809,-0.03349,-0.02234,-0.02112,-0.00871,-0.00833,0.00789,
0.00093,-0.00547,0.01459,0.00599,0.02978,0.01731,0.03638,0.01913,0.03952,0.02424,0.03305,0.00885,0.02827,-0.00028,0.01210,-0.00687,0.00687,-0.01210,0.00028,-0.02827,-0.00885,-0.03305,-0.02424,-0.03952,-0.01913,-0.03638,-0.01731,-0.02978,-0.00599,-0.01459,0.00547,-0.00093,
-0.01525,0.00927,-0.00364,0.01705,0.00576,0.02502,0.01950,0.03229,0.02255,0.03119,0.01771,0.02301,0.01303,0.01447,-0.00200,0.00546,-0.00546,0.00200,-0.01447,-0.01303,-0.02301,-0.01771,-0.03119,-0.02255,-0.03229,-0.01950,-0.02502,-0.00576,-0.01705,0.00364,-0.00927,0.01525,
-0.00775,-0.00306,0.00523,0.00150,0.02358,0.00499,0.02732,0.00907,0.03487,0.01176,0.03520,0.00264,0.03421,-0.00471,0.01696,-0.01590,0.01590,-0.01696,0.00471,-0.03421,-0.00264,-0.03520,-0.01176,-0.03487,-0.00907,-0.02732,-0.00499,-0.02358,-0.00150,-0.00523,0.00306,0.00775,
-0.01875,0.00550,-0.00331,0.00275,0.00428,0.00804,0.01606,0.01227,0.02233,0.01467,0.01685,0.01641,0.01787,0.00494,-0.00081,-0.00022,0.00022,0.00081,-0.00494,-0.01787,-0.01641,-0.01685,-0.01467,-0.02233,-0.01227,-0.01606,-0.00804,-0.00428,-0.00275,0.00331,-0.00550,0.01875,
-0.00545,-0.00698,0.00332,-0.00545,0.01708,-0.00596,0.01851,-0.00178,0.02399,0.00479,0.02289,-0.00304,0.03007,-0.00563,0.01148,-0.01038,0.01038,-0.01148,0.00563,-0.03007,0.00304,-0.02289,-0.00479,-0.02399,0.00178,-0.01851,0.00596,-0.01708,0.00545,-0.00332,0.00698,0.00545,
-0.01238,0.00300,-0.00796,0.00147,-0.00782,0.00665,-0.00117,0.01022,0.00154,0.01372,0.00392,0.01484,0.00432,0.00837,-0.00591,0.00412,-0.00412,0.00591,-0.00837,-0.00432,-0.01484,-0.00392,-0.01372,-0.00154,-0.01022,0.00117,-0.00665,0.00782,-0.00147,0.00796,-0.00300,0.01238,
0.00078,-0.00803,-0.00057,-0.00577,0.00386,-0.00657,0.00401,-0.00303,0.01025,-0.00241,0.00880,-0.00274,0.01156,-0.00135,0.00865,-0.00603,0.00603,-0.00865,0.00135,-0.01156,0.00274,-0.00880,0.00241,-0.01025,0.00303,-0.00401,0.00657,-0.00386,0.00577,0.00057,0.00803,-0.00078,
