0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
0.00323,0.00722,-0.00057,0.00691,-0.00286,0.01248,0.00120,0.01039,-0.00038,0.00957,-0.00433,-0.00096,-0.00248,0.00893,-0.00380,0.00047,-0.00047,0.00380,-0.00893,0.00248,0.00096,0.00433,-0.00957,0.00038,-0.01039,-0.00120,-0.01248,0.00286,-0.00691,0.00057,-0.00722,-0.00323,
0.00722,0.00093,0.00664,-0.00004,0.00888,-0.00349,0.00649,-0.00052,0.01055,-0.00306,0.00404,-0.00211,0.00261,-0.00858,0.00448,-0.00269,0.00269,-0.00448,0.00858,-0.00261,0.00211,-0.00404,0.00306,-0.01055,0.00052,-0.00649,0.00349,-0.00888,0.00004,-0.00664,-0.00093,-0.00722,
0.00114,0.00599,0.00478,0.00948,-0.00282,0.00801,-0.00725,0.00675,-0.01358,0.01245,-0.00720,0.00618,-0.01936,0.00079,-0.00423,0.01378,-0.01378,0.00423,-0.00079,0.01936,-0.00618,0.00720,-0.01245,0.01358,-0.00675,0.00725,-0.00801,0.00282,-0.00948,-0.00478,-0.00599,-0.00114,
0.01511,-0.00933,0.01859,-0.01651,0.01477,-0.01726,-0.00027,-0.00917,-0.00031,0.00072,-0.00875,-0.00013,-0.01057,-0.00682,-0.00563,0.00523,-0.00523,0.00563,0.00682,0.01057,0.00013,0.00875,-0.00072,0.00031,0.00917,0.00027,0.01726,-0.01477,0.01651,-0.01859,0.00933,-0.01511,
-0.00086,0.00648,0.00498,0.00606,-0.00482,-0.00286,-0.01353,-0.00427,-0.02090,0.00123,-0.01145,0.00197,-0.02669,-0.00592,-0.00647,0.01812,-0.01812,0.00647,0.00592,0.02669,-0.00197,0.01145,-0.00123,0.02090,0.00427,0.01353,0.00286,0.00482,-0.00606,-0.00498,-0.00648,0.00086,
0.01316,-0.00383,0.01116,-0.01708,0.00469,-0.02232,-0.00912,-0.02195,-0.00886,-0.01277,-0.01395,-0.01448,-0.00950,-0.01256,-0.00177,-0.00570,0.00570,0.00177,0.01256,0.00950,0.01448,0.01395,0.01277,0.00886,0.02195,0.00912,0.02232,-0.00469,0.01708,-0.01116,0.00383,-0.01316,
0.00382,0.00628,-0.00139,0.00430,-0.01565,-0.00709,-0.02603,-0.00993,-0.03351,-0.01120,-0.02429,-0.00217,-0.02550,-0.00293,-0.01188,0.01444,-0.01444,0.01188,0.00293,0.02550,0.00217,0.02429,0.01120,0.03351,0.00993,0.02603,0.00709,0.01565,-0.00430,0.00139,-0.00628,-0.00382,
0.01305,-0.00281,0.01173,-0.02097,0.00302,-0.02731,-0.01419,-0.03389,-0.02184,-0.02602,-0.01988,-0.01954,-0.00410,-0.00326,-0.00744,-0.00377,0.00377,0.00744,0.00326,0.00410,0.01954,0.01988,0.02602,0.02184,0.03389,0.01419,0.02731,-0.00302,0.02097,-0.01173,0.00281,-0.01305,
-0.00468,0.01042,-0.00249,-0.00285,-0.00961,-0.02253,-0.02004,-0.03129,-0.02816,-0.03418,-0.01488,-0.00508,-0.00181,0.00296,0.00095,0.00151,-0.00151,-0.00095,-0.00296,0.00181,0.00508,0.01488,0.03418,0.02816,0.03129,0.02004,0.02253,0.00961,0.00285,0.00249,-0.01042,0.00468,
0.00099,0.00821,0.00196,-0.01220,-0.00398,-0.02597,-0.01963,-0.04295,-0.02536,-0.03153,-0.00380,-0.00845,0.02988,0.01578,0.02336,-0.00149,0.00149,-0.02336,-0.01578,-0.02988,0.00845,0.00380,0.03153,0.02536,0.04295,0.01963,0.02597,0.00398,0.01220,-0.00196,-0.00821,-0.00099,
-0.00063,0.00399,-0.00452,-0.00299,-0.01838,-0.02063,-0.03389,-0.02486,-0.03533,-0.01229,-0.00008,0.03870,0.04707,0.06730,0.06096,0.04488,-0.04488,-0.06096,-0.06730,-0.04707,-0.03870,0.00008,0.01229,0.03533,0.02486,0.03389,0.02063,0.01838,0.00299,0.00452,-0.00399,0.00063,
0.00238,-0.00318,0.00564,-0.02596,-0.00390,-0.03679,-0.02112,-0.04165,-0.01695,-0.00715,0.03368,0.06515,0.12177,0.17430,0.20515,0.12833,-0.12833,-0.20515,-0.17430,-0.12177,-0.06515,-0.03368,0.00715,0.01695,0.04165,0.02112,0.03679,0.00390,0.02596,-0.00564,0.00318,-0.00238,
-0.00599,0.00100,-0.01220,-0.01550,-0.02321,-0.03374,-0.02775,-0.02892,-0.00842,0.00921,0.06538,0.13983,0.26082,0.44657,0.65625,0.59094,-0.59094,-0.65625,-0.44657,-0.26082,-0.13983,-0.06538,-0.00921,0.00842,0.02892,0.02775,0.03374,0.02321,0.01550,0.01220,-0.00100,0.00599,
-0.00145,0.00142,-0.01391,-0.02415,-0.02164,-0.03730,-0.01922,-0.03617,0.00704,0.02246,0.11704,0.22760,0.54326,1.12812,2.32661,3.22740,-3.22740,-2.32661,-1.12812,-0.54326,-0.22760,-0.11704,-0.02246,-0.00704,0.03617,0.01922,0.03730,0.02164,0.02415,0.01391,-0.00142,0.00145,
-0.00310,0.00001,-0.01654,-0.01206,-0.03056,-0.02458,-0.03441,-0.01534,0.00099,0.04638,0.15105,0.38771,0.98502,2.79272,8.32137,20.47427,-20.47427,-8.32137,-2.79272,-0.98502,-0.38771,-0.15105,-0.04638,-0.00099,0.01534,0.03441,0.02458,0.03056,0.01206,0.01654,-0.00001,0.00310,
0.00071,-0.00406,0.00005,-0.02448,-0.00983,-0.03416,-0.01998,-0.02900,0.00073,0.05902,0.18130,0.47309,1.44691,5.44247,25.55547,142.37477,-142.37477,-25.55547,-5.44247,-1.44691,-0.47309,-0.18130,-0.05902,-0.00073,0.02900,0.01998,0.03416,0.00983,0.02448,-0.00005,0.00406,-0.00071,
-0.00310,0.00001,-0.01654,-0.01206,-0.03056,-0.02458,-0.03441,-0.01534,0.00099,0.04638,0.15105,0.38771,0.98502,2.79272,8.32137,20.47427,-20.47427,-8.32137,-2.79272,-0.98502,-0.38771,-0.15105,-0.04638,-0.00099,0.01534,0.03441,0.02458,0.03056,0.01206,0.01654,-0.00001,0.00310,
-0.00145,0.00142,-0.01391,-0.02415,-0.02164,-0.03730,-0.01922,-0.03617,0.00704,0.02246,0.11704,0.22760,0.54326,1.12812,2.32661,3.22740,-3.22740,-2.32661,-1.12812,-0.54326,-0.22760,-0.11704,-0.02246,-0.00704,0.03617,0.01922,0.03730,0.02164,0.02415,0.01391,-0.00142,0.00145,
-0.00599,0.00100,-0.01220,-0.01550,-0.02321,-0.03374,-0.02775,-0.02892,-0.00842,0.00921,0.06538,0.13983,0.26082,0.44657,0.65625,0.59094,-0.59094,-0.65625,-0.44657,-0.26082,-0.13983,-0.06538,-0.00921,0.00842,0.02892,0.02775,0.03374,0.02321,0.01550,0.01220,-0.00100,0.00599,
0.00238,-0.00318,0.00564,-0.02596,-0.00390,-0.03679,-0.02112,-0.04165,-0.01695,-0.00715,0.03368,0.06515,0.12177,0.17430,0.20515,0.12833,-0.12833,-0.20515,-0.17430,-0.12177,-0.06515,-0.03368,0.00715,0.01695,0.04165,0.02112,0.03679,0.00390,0.02596,-0.00564,0.00318,-0.00238,
-0.00063,0.00399,-0.00452,-0.00299,-0.01838,-0.02063,-0.03389,-0.02486,-0.03533,-0.01229,-0.00008,0.03870,0.04707,0.06730,0.06096,0.04488,-0.04488,-0.06096,-0.06730,-0.04707,-0.03870,0.00008,0.01229,0.03533,0.02486,0.03389,0.02063,0.01838,0.00299,0.00452,-0.00399,0.00063,
0.00099,0.00821,0.00196,-0.01220,-0.00398,-0.02597,-0.01963,-0.04295,-0.02536,-0.03153,-0.00380,-0.00845,0.02988,0.01578,0.02336,-0.00149,0.00149,-0.02336,-0.01578,-0.02988,0.00845,0.00380,0.03153,0.02536,0.04295,0.01963,0.02597,0.00398,0.01220,-0.00196,-0.00821,-0.00099,
-0.00468,0.01042,-0.00249,-0.00285,-0.00961,-0.02253,-0.02004,-0.03129,-0.02816,-0.03418,-0.01488,-0.00508,-0.00181,0.00296,0.00095,0.00151,-0.00151,-0.00095,-0.00296,0.00181,0.00508,0.01488,0.03418,0.02816,0.03129,0.02004,0.02253,0.00961,0.00285,0.00249,-0.01042,0.00468,
0.01305,-0.00281,0.01173,-0.02097,0.00302,-0.02731,-0.01419,-0.03389,-0.02184,-0.02602,-0.01988,-0.01954,-0.00410,-0.00326,-0.00744,-0.00377,0.00377,0.00744,0.00326,0.00410,0.01954,0.01988,0.02602,0.02184,0.03389,0.01419,0.02731,-0.00302,0.02097,-0.01173,0.00281,-0.01305,
0.00382,0.00628,-0.00139,0.00430,-0.01565,-0.00709,-0.02603,-0.00993,-0.03351,-0.01120,-0.02429,-0.00217,-0.02550,-0.00293,-0.01188,0.01444,-0.01444,0.01188,0.00293,0.02550,0.00217,0.02429,0.01120,0.03351,0.00993,0.02603,0.00709,0.01565,-0.00430,0.00139,-0.00628,-0.00382,
0.01316,-0.00383,0.01116,-0.01708,0.00469,-0.02232,-0.00912,-0.02195,-0.00886,-0.01277,-0.01395,-0.01448,-0.00950,-0.01256,-0.00177,-0.00570,0.00570,0.00177,0.01256,0.00950,0.01448,0.01395,0.01277,0.00886,0.02195,0.00912,0.02232,-0.00469,0.01708,-0.01116,0.00383,-0.01316,
-0.00086,0.00648,0.00498,0.00606,-0.00482,-0.00286,-0.01353,-0.00427,-0.02090,0.00123,-0.01145,0.00197,-0.02669,-0.00592,-0.00647,0.01812,-0.01812,0.00647,0.00592,0.02669,-0.00197,0.01145,-0.00123,0.02090,0.00427,0.01353,0.00286,0.00482,-0.00606,-0.00498,-0.00648,0.00086,
